date,bc_active_addresses,bc_tx_count,bc_hash_rate,bc_fees_usd,bc_tx_volume_usd,bc_mempool_bytes,cm_mvrv,cm_active_addr,cm_stablecoin_cap,fear_greed,spx,dxy,vix,us10y
2025-06-17 00:00:00+00:00,518441.0,354536.0,741505703.5204258,662702.1111968999,9427005107.909824,2500788.5,2.2032072026463054,712578.0,215966817233.76318,68.0,5982.72,120.5048,21.6,4.39
2025-06-18 00:00:00+00:00,526045.0,441317.0,879752529.6005048,731544.3573622007,10252024346.377224,1226889.5,2.20581725377894,751671.0,216897685789.17987,52.0,5980.87,120.7305,20.14,4.38
2025-06-19 00:00:00+00:00,501017.0,308332.0,798061223.2804582,531498.8395316002,5255470077.15392,8304428.5,2.202308074044105,716269.0,216741740620.94424,57.0,,,22.17,
2025-06-20 00:00:00+00:00,543938.0,353459.0,948875942.6405447,551551.1783548995,8671147096.782238,2416415.5,2.1712340906871987,778947.0,216556714678.8744,54.0,5967.84,121.0408,20.62,4.38
2025-06-21 00:00:00+00:00,455627.0,309613.0,886036476.2405084,366032.1573706999,3272164417.8679485,639046.0,2.1341088047568837,658427.0,216613622064.477,49.0,,,,
2025-06-22 00:00:00+00:00,434126.0,265421.0,672382290.480386,281784.87487829,5215828659.9633255,650318.0,2.1199152283858615,595271.0,218501169974.15228,42.0,,,,
2025-06-23 00:00:00+00:00,477910.0,290678.0,672382290.480386,500511.41322129994,9641640710.702705,19243873.0,2.2134869832042128,691705.0,218877783784.5982,47.0,6025.17,121.1694,19.83,4.34
2025-06-24 00:00:00+00:00,498971.0,279124.0,735221756.880422,650303.8123115003,,9946705.5,2.220349702793955,757208.0,219211549266.89575,65.0,6092.18,120.3645,17.48,4.3
2025-06-25 00:00:00+00:00,516000.0,387919.0,898604369.5205159,515300.35969530005,11874525132.589663,4321735.5,2.2450664068043222,748961.0,219008996424.70502,66.0,6092.16,120.3336,16.76,4.29
2025-06-26 00:00:00+00:00,540682.0,504341.0,986579622.4805663,814808.0701758,11793948204.87055,13913711.5,2.2341438252792543,764181.0,218996185648.81268,74.0,6141.02,119.6451,16.59,4.26
